Year,Female,All,US
1900,5,8,2
1903,3,3,2
1906,3,6,2
1909,2,7,7
1912,4,10,3
1915,6,12,6
1918,5,14,5
1921,3,11,4
1924,4,13,6
1927,4,13,7
1930,3,11,4
1933,3,9,4
1936,3,8,6
1939,4,8,4
1942,3,9,4
1945,3,9,5
1948,4,9,3
1951,4,16,7
1954,2,14,9
1957,2,18,11
1960,3,20,13
1963,4,32,18
1966,4,37,25
1969,2,48,31
1972,5,60,44
1975,6,77,50
1978,7,89,63
1981,6,94,63
1984,6,93,59
1986,6,109,68
1987,7,105,69
1990,7,103,62
1993,4,102,54
1996,3,89,40
1999,6,83,33
2002,7,64,24
2005,6,61,23
2008,5,38,13
2011,3,25,6
2014,4,19,7
2017,1,15,5
2020,0,1,0
2021,0,0,0
