Serial Killer Name,IQ Level,Gender,,
Charlene Gallego,160,F,https://killer.cloud/serial-killers/by/iq-level?page=3,
Rodney Alcala,160,M,72 total,
Carroll Edward Cole,152,M,,
Edmund Kemper,145,M,,
Robert Browne,140,M,,
Charles Albright,140,M,,
Michael Bear Carson,138,M,,
Lawrence Bittaker,138,M,,
Ted Bundy,136,M,,
Thomas Dillon,134,M,,
Gerard John Schaefer,130,M,,
Marcel Petiot,130,M,,
Harvey Glatman,130,M,,
Angel Maturino Resendiz,130,M,,
Juan Vallejo Corona,130,M,,
Joel Rifkin,129,M,,
Randy Steven Kraft,129,M,,
Paul John Knowles,129,M,,
John Christie,128,M,,
Mike DeBardeleben,127,M,,
Jiri Straka,125,M,,
David Carpenter,125,M,,
John Joubert,123,M,,
Michael Bruce Ross,122,M,,
Montie Rissell ,120,M,,
Patrick McCullough,120,M,,
Lesley Warren,120,M,,
Todd Kohlhepp,118,M,,
John Wayne Gacy ,118,M,,
Wayne Adam Ford,117,M,,
Kenneth Alessio Bianchi,116,M,,
David Berkowitz,115,M,,
Carlton Gary,115,M,,
Rory Enrique Conde,109,M,,
Edmund Edwards,108,M,,
Arthur Shawcross,107,M,,
Keith Hunter Jesperson,102,M,,
Guy Georges,101,M,,
Tommy Lynn Sells,100,M,,
Miroslav Stehlik,96,M,,
Michael Lee Lockhart,95,M,,
Richard Trenton Chase,95,M,,
Kenneth McDuff,92,M,,
William Henry Hance,91,M,,
Robert Christian Hansen,91,M,,
Henry Lee Lucas,89,M,,
Danny Rolling,89,M,,
Ladislav Hojer,88,M,,
Robert Pickton,86,M,,
Daniel Blank,85,M,,
Thomas Huskey,84,M,,
Joesph Kallinger,84,M,,
Gary Ridgway,82,M,,
Gordon Cummins,81,M,,
Larry DeWayne Hall,80,M,,
Marie Noe,78,M,,
Glen Edward Rogers,76,M,,
Joachim Georg Kroll,76,M,,
Ottis Toole,75,M,,
Harrison Graham,75,M,,
Carl Eugene Watts,75,M,,
Jeffery Dahmer,75,M,,
Debra Brown,74,F,,
Hubert Geralds,73,M,,
Alton Coleman,72,M,,
Alfredo Prieto,70,M,,
Louis Craine,69,M,,
Christine Falling,69,F,,
Lorenzo Fayne,68,M,,
Bruce George Peter Lee,68,M,,
Derrick Todd Lee,65,M,,
John Straffen,64,M,,
